HC,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE
HC 197999 AgR-ED-AgR,2021-05-17,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR. OS MINISTROS ROSA WEBER E LUIZ FUX (PRESIDENTE) ACOMPANHARAM O RELATOR COM RESSALVAS. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 7.5.2021 A 14.5.2021.",1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 198070 AgR-AgR,2021-04-27,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NÃO CONHECEU DO AGRAVO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 16.4.2021 A 26.4.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 199040 AgR,2021-04-27,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DA RELATORA. PLENÁRIO, SESSÃO VIRTUAL DE 16.4.2021 A 26.4.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 197655 AgR,2021-04-27,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). IMPEDIDO O MINISTRO GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 16.4.2021 A 26.4.2021.",1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 186602 AgR-ED-EDv-AgR,2021-04-19,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DA RELATORA. PLENÁRIO, SESSÃO VIRTUAL DE 9.4.2021 A 16.4.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 197833 AgR,2021-04-19,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE), VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 9.4.2021 A 16.4.2021.",1,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 193726 AgR,2021-04-15,Não,,6,5,AgR," (AGR) NESTA ASSENTADA, O PLENÁRIO APRECIOU A QUESTÃO RELATIVA À COMPETÊNCIA DO JUÍZO E COMPLEMENTOU A DECISÃO DE 15.04.2021, CONCLUINDO QUE “O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS, PARCIALMENTE, OS MINISTROS ALEXANDRE DE MORAES E RICARDO LEWANDOWSKI, QUE ENTENDIAM SER COMPETENTE O JUÍZO DE SÃO PAULO, E, INTEGRALMENTE, OS MINISTROS NUNES MARQUES, MARCO AURÉLIO E LUIZ FUX (PRESIDENTE), QUE DAVAM PROVIMENTO AO RECURSO”. PLENÁRIO, 22.04.2021 (SESSÃO REALIZADA POR VIDEOCONFERÊNCIA - RESOLUÇÃO 672/2020/STF).",-1,0,-1,1,1,1,1,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0
HC 193726 AgR-AgR,2021-04-14,Não,,9,2,AgR,"(AGR-AGR) O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL INTERPOSTO CONTRA A DECISÃO DE AFETAÇÃO DO RECURSO AO PLENÁRIO, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS RICARDO LEWANDOWSKI E MARCO AURÉLIO. FICA CONSIGNADO QUE A PRESIDÊNCIA DO SUPREMO TRIBUNAL FEDERAL INDAGOU AO DR. HUMBERTO JACQUES DE MEDEIROS, VICE-PROCURADOR-GERAL DA REPÚBLICA, SE TERIA INTERESSE EM FAZER USO DA PALAVRA NA CONDIÇÃO DE CUSTOS LEGIS. EM RESPOSTA NEGATIVA E TENDO EM VISTA A IMPOSSIBILIDADE DE REALIZAÇÃO DE SUSTENTAÇÃO ORAL EM AGRAVO REGIMENTAL EM HABEAS CORPUS, CONSOANTE JURISPRUDÊNCIA DESTA CORTE (AGR NO HC 164.593), TAMBÉM NÃO FORA DADA A PALAVRA, PARA FINS DE SUSTENTAÇÃO ORAL, AO DR. CRISTIANO ZANIN MARTINS, ADVOGADO DA PARTE LUIZ INÁCIO LULA DA SILVA, COM A RESSALVA DO MINISTRO RICARDO LEWANDOWSKI, QUE ENTENDEU QUE DEVER-SE-IA DAR A PALAVRA AO ADVOGADO DO PACIENTE. PRESIDÊNCIA DO MINISTRO LUIZ FUX. PLENÁRIO, 14.04.2021 (SESSÃO REALIZADA POR VIDEOCONFERÊNCIA - RESOLUÇÃO 672/2020/STF).",1,0,1,1,1,1,1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0
HC 193914 AgR,2021-04-13,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO MARCO AURÉLIO. O MINISTRO GILMAR MENDES ACOMPANHOU A RELATORA COM RESSALVAS. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 2.4.2021 A 12.4.2021.",1,0,0,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 194730 AgR,2021-04-08,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 26.3.2021 A 7.4.2021.",1,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 186006 ED-2ºJULG,2021-03-29,Não,,10,1,ED,"O TRIBUNAL, POR MAIORIA, CONVERTEU OS EMBARGOS DE DECLARAÇÃO EM AGRAVO REGIMENTAL E NEGOU PROVIMENTO AO RECURSO, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. O MINISTRO GILMAR MENDES ACOMPANHOU O RELATOR COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 19.3.2021 A 26.3.2021.",1,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 197044 AgR,2021-03-15,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDO O MINISTRO RICARDO LEWANDOWSKI. PLENÁRIO, SESSÃO VIRTUAL DE 5.3.2021 A 12.3.2021.",1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HC 140141,2021-03-08,Não,Conferir voto do Relator: MARCO AURÉLIOConferir voto do Relator: MARCO AURÉLIOConferir voto do Relator: MARCO AURÉLIO,6,4,Principal,"O TRIBUNAL, POR MAIORIA, NÃO CONHECEU DO HABEAS CORPUS, NOS TERMOS DO VOTO DO MINISTRO ALEXANDRE DE MORAES, REDATOR PARA O ACÓRDÃO, VENCIDOS OS MINISTROS MARCO AURÉLIO (RELATOR), GILMAR MENDES, NUNES MARQUES E DIAS TOFFOLI, QUE INDEFERIAM A ORDEM. NÃO PARTICIPOU DESTE JULGAMENTO O MINISTRO EDSON FACHIN. PLENÁRIO, SESSÃO VIRTUAL DE 26.2.2021 A 5.3.2021.",-1,0,1,-1,1,0,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 187147,2020-12-21,Não,Conferir voto do Relator: MARCO AURÉLIO,9,2,Principal,"O TRIBUNAL, POR MAIORIA, NÃO CONHECEU DA IMPETRAÇÃO, NOS TERMOS DO VOTO DO MINISTRO EDSON FACHIN, REDATOR PARA O ACÓRDÃO, VENCIDOS OS MINISTROS MARCO AURÉLIO (RELATOR) E GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 11.12.2020 A 18.12.2020.",1,0,1,1,1,1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 178171 ED-AgR-ED-ED,2020-12-15,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AOS EMBARGOS DE DECLARAÇÃO E DETERMINOU A CERTIFICAÇÃO DO TRÂNSITO EM JULGADO, COM A CONSEQUENTE BAIXA IMEDIATA DOS AUTOS, INDEPENDENTEMENTE DA PUBLICAÇÃO DO ACÓRDÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 4.12.2020 A 14.12.2020.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 184817 AgR,2020-12-07,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA. IMPEDIDO O MINISTRO GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 27.11.2020 A 4.12.2020.",1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 186492 ED,2020-11-23,Sim,,10,0,ED,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 13.11.2020 A 20.11.2020.",1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
